ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
ace-Ritchie-2019-110-1-1,,ace,Ritchie-2019-110-1,ot,ot,,,Ritchie2019,,
ace-Ritchie-2019-110-2-1,,ace,Ritchie-2019-110-2,sa,sa,,,Ritchie2019,,
ace-Ritchie-2019-110-3-1,,ace,Ritchie-2019-110-3,duwa,duwa,,,Ritchie2019,,
ace-Ritchie-2019-110-4-1,,ace,Ritchie-2019-110-4,lhèë,lhèë,,,Ritchie2019,,
ace-Ritchie-2019-110-5-1,,ace,Ritchie-2019-110-5,peuët,peuët,,,Ritchie2019,,
ace-Ritchie-2019-110-6-1,,ace,Ritchie-2019-110-6,limong,limong,,,Ritchie2019,,
ace-Ritchie-2019-110-7-1,,ace,Ritchie-2019-110-7,nam,nam,,,Ritchie2019,,
ace-Ritchie-2019-110-8-1,,ace,Ritchie-2019-110-8,tujôh,tujôh,,,Ritchie2019,,
ace-Ritchie-2019-110-9-1,,ace,Ritchie-2019-110-9,lapan,lapan,,,Ritchie2019,,
ace-Ritchie-2019-110-10-1,,ace,Ritchie-2019-110-10,sikureuëng,sikureuëng,,,Ritchie2019,,
ace-Ritchie-2019-110-11-1,,ace,Ritchie-2019-110-11,si plôh,si plôh,,,Ritchie2019,,
ace-Ritchie-2019-110-12-1,,ace,Ritchie-2019-110-12,siblah,siblah,,,Ritchie2019,,
ace-Ritchie-2019-110-13-1,,ace,Ritchie-2019-110-13,duwa blah,duwa blah,,,Ritchie2019,,
ace-Ritchie-2019-110-14-1,,ace,Ritchie-2019-110-14,lhèë blah,lhèë blah,,,Ritchie2019,,
ace-Ritchie-2019-110-15-1,,ace,Ritchie-2019-110-15,peuët blah,peuët blah,,,Ritchie2019,,
ace-Ritchie-2019-110-16-1,,ace,Ritchie-2019-110-16,limong blah,limong blah,,,Ritchie2019,,
ace-Ritchie-2019-110-17-1,,ace,Ritchie-2019-110-17,nam blah,nam blah,,,Ritchie2019,,
ace-Ritchie-2019-110-18-1,,ace,Ritchie-2019-110-18,tujôh blah,tujôh blah,,,Ritchie2019,,
ace-Ritchie-2019-110-19-1,,ace,Ritchie-2019-110-19,lapan blah,lapan blah,,,Ritchie2019,,
ace-Ritchie-2019-110-20-1,,ace,Ritchie-2019-110-20,sikureuëng blah,sikureuëng blah,,,Ritchie2019,,
ace-Ritchie-2019-110-21-1,,ace,Ritchie-2019-110-21,duwa plôh,duwa plôh,,,Ritchie2019,,
ace-Ritchie-2019-110-22-1,,ace,Ritchie-2019-110-22,duwa plôh sa,duwa plôh sa,,,Ritchie2019,,
ace-Ritchie-2019-110-23-1,,ace,Ritchie-2019-110-23,duwa plôh duwa,duwa plôh duwa,,,Ritchie2019,,
ace-Ritchie-2019-110-24-1,,ace,Ritchie-2019-110-24,duwa plôh lhèë,duwa plôh lhèë,,,Ritchie2019,,
ace-Ritchie-2019-110-25-1,,ace,Ritchie-2019-110-25,duwa plôh peuët,duwa plôh peuët,,,Ritchie2019,,
